168.7539063     ,169.7611828,no match,,,,,,,,,,
573.21875       ,574.2260265,no match,,,,,,,,,,
837.4841919     ,838.4914684,no match,,,,,,,,,,
568.34375       ,569.3510265,no match,,,,,,,,,,
844.5352173     ,845.5424938,no match,,,,,,,,,,
259.8395996     ,260.8468761,no match,,,,,,,,,,
819.5308228     ,820.5380993,no match,,,,,,,,,,
336.9735413     ,337.9808178,no match,,,,,,,,,,
221.1309509     ,222.1382274,no match,,,,,,,,,,
609.184021     ,610.1912975,610.189770423   ,C28H34O15, , 14N , , , , , , Hesperidin      C09755  11943,
315.0516968     ,316.0589733,316.05830274   ,C16H12O7        12C , , 14N , , , , , , Azaleatin       C10022  12208,
315.0516968     ,316.0589733,316.05830274   ,C16H12O7        12C , , 14N , , , , , , Tamarixetin     C10188  12374,
315.0516968     ,316.0589733,316.05830274   ,C16H12O7        12C , , 14N , , , , , , Pinoquercetin   C10120  12306,
315.0516968     ,316.0589733,316.05830274   ,C16H12O7        12C , , 14N , , , , , , Pedalitin       C10119  12305,
315.0516968     ,316.0589733,316.05830274   ,C16H12O7        12C , , 14N , , , , , ," 3',4',5,7-Tetrahydroxy-3-methox",yflavone C04443  7072
315.0516968     ,316.0589733,316.05830274   ,C16H12O7        12C , , 14N , , , , , , Sexangularetin  C10185  12371,
315.0516968     ,316.0589733,316.05830274   ,C16H12O7        12C , , 14N , , , , , , Capillarisin    C08999  11191,
315.0516968     ,316.0589733,316.05830274   ,C16H12O7        12C , , 14N , , , , , , Isorhamnetin    C10084  12270,
316.054718     ,317.0619945,317.062340425   ,C12H10F3N3O4    12C , , 14N , , , , , , Nilutamide      C08164  10364,
747.2792358     ,748.2865123,no match,,,,,,,,,,
313.736908     ,314.7441845,no match,,,,,,,,,,
696.4707031     ,697.4779796,no match,,,,,,,,,,
561.1621704     ,562.1694469,no match,,,,,,,,,,
251.9948425     ,253.002119,no match,,,,,,,,,,
325.1846313     ,326.1919078,no match,,,,,,,,,,
306.0701294     ,307.0774059,no match,,,,,,,,,,
282.9822693     ,283.9895458,no match,,,,,,,,,,
721.5048218     ,722.5120983,no match,,,,,,,,,,
679.4432983     ,680.4505748,no match,,,,,,,,,,
362.8760986     ,363.8833751,no match,,,,,,,,,,
478.2940063     ,479.3012828,no match,,,,,,,,,,
280.9830627     ,281.9903392,no match,,,,,,,,,,
331.0675659     ,332.0748424,332.074346735   ,C13H16O10       12C , , 14N , , , , , , 1-O-Galloyl-beta-D-glucose     ,C01158  4386
555.2843628     ,556.2916393,no match,,,,,,,,,,
734.3109741     ,735.3182506,no match,,,,,,,,,,
697.2514648     ,698.2587413,698.258793462   ,C37H38N4O10     12C , , 14N , , , , , , Pentacarboxyporphyrin   no KEGG,746273
721.5024414     ,722.5097179,no match,,,,,,,,,,
231.9312897     ,232.9385662,no match,,,,,,,,,,
268.9846497     ,269.9919262,no match,,,,,,,,,,
316.184967     ,317.1922435,no match,,,,,,,,,,
217.122757     ,218.1300335,no match,,,,,,,,,,
309.207489     ,310.2147655,310.214409451   ,C18H30O4        12C , , 14N , , , , , ," (9Z,11E,14Z)-(13S)-13-Hydropero","xyoctadeca-9,11,14-trienoic acid C04785  7348"
309.207489     ,310.2147655,310.214409451   ,C18H30O4        12C , , 14N , , , , , , 13(S)-hydroperoxylinolenate   , no KEGG 730469
309.207489     ,310.2147655,310.214409451   ,C18H30O4        12C , , 14N , , , , , ," (9Z,12Z,15Z)-(7S,8S)-Dihydroxyo","ctadeca-9,12,15-trienoic acid    C07357  9562"
225.7956238     ,226.8029003,no match,,,,,,,,,,
833.5111694     ,834.5184459,no match,,,,,,,,,,
596.3427124     ,597.3499889,597.352634267   ,C32H47N5O6      12C , , 14N , , , , , , Zizyphine F     C10016  12202,
596.3427124     ,597.3499889,597.351296863   ,C31H51NO10      12C , , 14N , , , , , , 5-O-beta-D-Mycaminosyltylonolid,e        C12002  14163
844.5341797     ,845.5414562,no match,,,,,,,,,,
302.9875793     ,303.9948558,no match,,,,,,,,,,
669.201416     ,670.2086925,no match,,,,,,,,,,
254.9861603     ,255.9934368,no match,,,,,,,,,,
345.0621033     ,346.0693798,346.068867426   ,C17H14O8        12C , , 14N , , , , , ," 3',4',5,6-Tetrahydroxy-3,7-dime",thoxyflavone     C04581  7182
345.0621033     ,346.0693798,346.068867426   ,C17H14O8        12C , , 14N , , , , , , Syringetin      C11620  13785,
345.0621033     ,346.0693798,346.068867426   ,C17H14O8        12C , , 14N , , , , , , Taxifolin 3-O-acetate   C09967 ,12153
345.0621033     ,346.0693798,346.068867426   ,C17H14O8        12C , , 14N , , , , , , Axillarin       C10021  12207,
221.7997437     ,222.8070202,no match,,,,,,,,,,
277.0091553     ,278.0164318,no match,,,,,,,,,,
350.98703       ,351.9943065,no match,,,,,,,,,,
736.3000488     ,737.3073253,no match,,,,,,,,,,
793.5143433     ,794.5216198,no match,,,,,,,,,,
371.0984497     ,372.1057262,no match,,,,,,,,,,
523.1829834     ,524.1902599,no match,,,,,,,,,,
449.2549133     ,450.2621898,450.261753575   ,C25H38O7        12C , , 14N , , , , , , Laserpitin      C09697  11887,
274.9764099     ,275.9836864,no match,,,,,,,,,,
623.2573853     ,624.2646618,no match,,,,,,,,,,
318.9822388     ,319.9895153,no match,,,,,,,,,,
160.8407593     ,161.8480358,no match,,,,,,,,,,
336.9894104     ,337.9966869,no match,,,,,,,,,,
393.7694397     ,394.7767162,no match,,,,,,,,,,
294.9823608     ,295.9896373,no match,,,,,,,,,,
623.2528076     ,624.2600841,no match,,,,,,,,,,
551.2147217     ,552.2219982,no match,,,,,,,,,,
449.203186     ,450.2104625,no match,,,,,,,,,,
521.166687     ,522.1739635,522.173726428   ,C25H30O12       12C , , 14N , , , , , , Melampodinin    C09501  11692,
310.210907     ,311.2181835,no match,,,,,,,,,,
352.9680786     ,353.9753551,no match,,,,,,,,,,
301.0566406     ,302.0639171,302.062990464   ,C12H19BrN2O2    12C , , 14N , , , , , , Neostigmine bromide     C08197 ,10396
174.9550934     ,175.9623699,no match,,,,,,,,,,
180.8779602     ,181.8852367,no match,,,,,,,,,,
255.050827     ,256.0581035,no match,,,,,,,,,,
225.7952118     ,226.8024883,no match,,,,,,,,,,
294.1824341     ,295.1897106,no match,,,,,,,,,,
394.9767761     ,395.9840526,no match,,,,,,,,,,
176.8969574     ,177.9042339,no match,,,,,,,,,,
673.4812012     ,674.4884777,674.488655766   ,C37H71O8P       12C , , 14N , , , , , , 1-18:1-2-16:0-sn-glycerol-3-pho,sphate   no KEGG no PubChem
673.4812012     ,674.4884777,674.488655766   ,C37H71O8P       12C , , 14N , , , , , , 1-Hexadecanoyl-2-(9Z-octadeceno,yl)-sn-glycero-3-phosphate       C13889  854134
162.838028     ,163.8453045,no match,,,,,,,,,,
833.5123291     ,834.5196056,no match,,,,,,,,,,
226.9450836     ,227.9523601,no match,,,,,,,,,,
512.2037964     ,513.2110729,no match,,,,,,,,,,
753.3952637     ,754.4025402,no match,,,,,,,,,,
983.586731     ,984.5940075,no match,,,,,,,,,,
610.2781982     ,611.2854747,no match,,,,,,,,,,
820.7289429     ,821.7362194,no match,,,,,,,,,,
262.9926453     ,263.9999218,no match,,,,,,,,,,
277.2170105     ,278.224287,278.224580207   ,C18H30O2        12C , , 14N , , , , , , Crepenynate     C07289  9498,
277.2170105     ,278.224287,278.224580207   ,C18H30O2        12C , , 14N , , , , , ," (6Z,9Z,12Z)-Octadecatrienoic ac",id       C06426  8661
277.2170105     ,278.224287,278.224580207   ,C18H30O2        12C , , 14N , , , , , ," (9Z,12Z,15Z)-Octadecatrienoic a",cid      C06427  8662
277.2170105     ,278.224287,278.224580207   ,C18H30O2        12C , , 14N , , , , , , Punicic acid    C08364  10560,
277.2170105     ,278.224287,278.224580207   ,C18H30O2        12C , , 14N , , , , , ," (9Z,11E,13E)-Octadecatrienoic a",cid      C08315  10513
490.9949646     ,492.0022411,no match,,,,,,,,,,
1039.384766     ,1040.392042,no match,,,,,,,,,,
325.1841125     ,326.191389,no match,,,,,,,,,,
152.8938293     ,153.9011058,no match,,,,,,,,,,
265.8755798     ,266.8828563,no match,,,,,,,,,,
168.8352966     ,169.8425731,no match,,,,,,,,,,
682.1818237     ,683.1891002,no match,,,,,,,,,,
425.2585144     ,426.2657909,no match,,,,,,,,,,
565.1928711     ,566.2001476,no match,,,,,,,,,,
339.1999817     ,340.2072582,no match,,,,,,,,,,
476.141449     ,477.1487255,no match,,,,,,,,,,
433.2371826     ,434.2444591,434.243340117   ,C21H39O7P       12C , , 14N , , , , , , Oleoylglycerone phosphate     , C03630  6413
578.1592407     ,579.1665172,no match,,,,,,,,,,
225.7953644     ,226.8026409,no match,,,,,,,,,,
680.2658081     ,681.2730846,no match,,,,,,,,,,
411.0243835     ,412.03166,no match,,,,,,,,,,
527.2718506     ,528.2791271,no match,,,,,,,,,,
392.9776001     ,393.9848766,no match,,,,,,,,,,
285.0615845     ,286.068861,no match,,,,,,,,,,
436.9840698     ,437.9913463,no match,,,,,,,,,,
353.2004395     ,354.207716,no match,,,,,,,,,,
739.3192749     ,740.3265514,no match,,,,,,,,,,
682.1819458     ,683.1892223,no match,,,,,,,,,,
476.979187     ,477.9864635,no match,,,,,,,,,,
432.2237549     ,433.2310314,no match,,,,,,,,,,
246.8048401     ,247.8121166,no match,,,,,,,,,,
318.98172       ,319.9889965,no match,,,,,,,,,,
313.1577759     ,314.1650524,no match,,,,,,,,,,
249.0321045     ,250.039381,no match,,,,,,,,,,
564.3307495     ,565.338026,no match,,,,,,,,,,
748.5222168     ,749.5294933,no match,,,,,,,,,,
551.2136841     ,552.2209606,552.218945025   ,C28H39Cl3N4O    12C , , 14N , , , , , , Clocapramine dihydrochloride   ,C12937  583326
315.181488     ,316.1887645,no match,,,,,,,,,,
390.9815674     ,391.9888439,no match,,,,,,,,,,
483.1518555     ,484.159132,no match,,,,,,,,,,
180.8777008     ,181.8849773,no match,,,,,,,,,,
831.5042114     ,832.5114879,no match,,,,,,,,,,
226.8005676     ,227.8078441,no match,,,,,,,,,,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , D-(+)-Maltose   bmse000017,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Lactose bmse000065,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Sucrose bmse000119,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , D-Trehalose     bmse000125,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , D-Cellobiose    bmse000138,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Melibiose       bmse000233,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , beta-gentiobiose        bmse000,313
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , lactulose       bmse000652,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Palatinose      C01742  4876,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Mannobiose      C01728  4865,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , beta-D-Gal-(1->4)-D-Glc C06373 ,8609
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Inulobiose      C01711  4849,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , D-Fructosyl-D-fructofuranose   ,C03857  6593
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , 2-O-beta-D-Glucopyranosyl-beta-,D-glucopyranose  C08250  10449
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , alpha-Cellobiose        C06421 ,8656
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Isomaltose      C00252  3551,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , alpha-Maltose   C00897  4153,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , ," alpha-D-Glucosyl-(1,3)-D-mannos",e        C04147  6832
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , beta-Lactose    C01970  5071,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , beta-Maltose    C01971  5072,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , alpha-D-Aldosyl beta-D-fructosi,de       C04219  6892
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Levanbiose      C01725  4862,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , D-Glucosyl-D-mannose    C02964 ,5879
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , 1-alpha-D-Galactosyl-myo-inosit,ol       C01235  4456
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Maltose C00208  3508,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Laminaribiose   C02048  5137,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Lactose C00243  3542,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Cellobiose      C00185  3485,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , beta-Cellobiose C06422  8657,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Gentiobiose     C08240  10439,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Disaccharide    C01911  5019,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , ," alpha,alpha-Trehalose   C01083 ",4320
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Melibiose       C05402  7769,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Sucrose C00089  3389,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Epimelibiose    C05400  7767,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Nigerose        C01518  4683,
341.1091614     ,342.1164379,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Lactulose       C07064  9276,
433.2361755     ,434.243452,434.243340117   ,C21H39O7P       12C , , 14N , , , , , , Oleoylglycerone phosphate     , C03630  6413
463.183075     ,464.1903515,no match,,,,,,,,,,
434.1305237     ,435.1378002,no match,,,,,,,,,,
172.8670349     ,173.8743114,no match,,,,,,,,,,
959.5958862     ,960.6031627,no match,,,,,,,,,,
267.071991     ,268.0792675,268.079432113   ,C9H16O9 12C     14N , ,     , , ,2(,al,ph,a-D-Mannosyl)-D-glycerate C11544 ,13711
267.071991     ,268.0792675,268.079432113   ,C9H16O9 12C     14N , ,     , , ,-3,De,ox,y-D-glycero-D-galacto-2-nonuloson,ic acid  no KEGG 700413
400.9839478     ,401.9912243,no match,,,,,,,,,,
162.8377686     ,163.8450451,no match,,,,,,,,,,
786.5749512     ,787.5822277,no match,,,,,,,,,,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , D-(+)-Maltose   bmse000017,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Lactose bmse000065,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Sucrose bmse000119,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , D-Trehalose     bmse000125,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , D-Cellobiose    bmse000138,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Melibiose       bmse000233,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , beta-gentiobiose        bmse000,313
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , lactulose       bmse000652,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Palatinose      C01742  4876,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Mannobiose      C01728  4865,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , beta-D-Gal-(1->4)-D-Glc C06373 ,8609
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Inulobiose      C01711  4849,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , D-Fructosyl-D-fructofuranose   ,C03857  6593
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , 2-O-beta-D-Glucopyranosyl-beta-,D-glucopyranose  C08250  10449
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , alpha-Cellobiose        C06421 ,8656
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Isomaltose      C00252  3551,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , alpha-Maltose   C00897  4153,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , ," alpha-D-Glucosyl-(1,3)-D-mannos",e        C04147  6832
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , beta-Lactose    C01970  5071,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , beta-Maltose    C01971  5072,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , alpha-D-Aldosyl beta-D-fructosi,de       C04219  6892
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Levanbiose      C01725  4862,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , D-Glucosyl-D-mannose    C02964 ,5879
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , 1-alpha-D-Galactosyl-myo-inosit,ol       C01235  4456
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Maltose C00208  3508,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Laminaribiose   C02048  5137,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Lactose C00243  3542,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Cellobiose      C00185  3485,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , beta-Cellobiose C06422  8657,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Gentiobiose     C08240  10439,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Disaccharide    C01911  5019,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , ," alpha,alpha-Trehalose   C01083 ",4320
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Melibiose       C05402  7769,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Sucrose C00089  3389,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Epimelibiose    C05400  7767,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Nigerose        C01518  4683,
341.1091919     ,342.1164684,342.116211549   ,C12H22O11       12C , , 14N , , , , , , Lactulose       C07064  9276,
451.1463928     ,452.1536693,no match,,,,,,,,,,
508.9855347     ,509.9928112,no match,,,,,,,,,,
671.4686279     ,672.4759044,672.473005702   ,C37H69O8P       12C , , 14N , , , , , , Phosphatidyl Ethanol    no KEGG,7889648
595.2893066     ,596.2965831,596.298533011   ,C34H44O9        12C , , 14N , , , , , , Salannin        C08780  10973,
447.1876221     ,448.1948986,no match,,,,,,,,,,
226.0540466     ,227.0613231,no match,,,,,,,,,,
223.7978363     ,224.8051128,no match,,,,,,,,,,
565.3343506     ,566.3416271,no match,,,,,,,,,,
613.3515625     ,614.358839,614.360979582   ,C40H46N4O2+2    12C , , 14N , , , , , , Toxiferine I    C09246  11437,
415.3181763     ,416.3254528,no match,,,,,,,,,,
821.5430298     ,822.5503063,no match,,,,,,,,,,
472.125061     ,473.1323375,no match,,,,,,,,,,
245.1143036     ,246.1215801,no match,,,,,,,,,,
305.0665283     ,306.0738048,306.073952804   ,C15H14O7        12C , , 14N , , , , , , (-)-Epigallocatechin    C12136 ,14283
305.0665283     ,306.0738048,306.073952804   ,C15H14O7        12C , , 14N , , , , , , Leucocyanidin   C05906  8194,
305.0665283     ,306.0738048,306.073952804   ,C15H14O7        12C , , 14N , , , , , , (+)-Gallocatechin       C12127 ,14274
812.3088989     ,813.3161754,no match,,,,,,,,,,
374.987915     ,375.9951915,no match,,,,,,,,,,
815.5003662     ,816.5076427,no match,,,,,,,,,,
793.5161133     ,794.5233898,no match,,,,,,,,,,
207.9307709     ,208.9380474,no match,,,,,,,,,,
997.5747681     ,998.5820446,no match,,,,,,,,,,
212.0743713     ,213.0816478,no match,,,,,,,,,,
747.5184937     ,748.5257702,748.525435203   ,C40H77O10P      12C , , 14N , , , , , , 1-Hexadecanoyl-2-(9Z-octadeceno,yl)-sn-glycero-3-phospho-sn-glycerol     C13883  854128
409.2366638     ,410.2439403,410.243340117   ,C19H39O7P       12C , , 14N , , , , , , 1-Palmitoylglycerol 3-phosphate,C04036  6739
458.989502     ,459.9967785,no match,,,,,,,,,,
297.0823975     ,298.089674,no match,,,,,,,,,,
648.9146118     ,649.9218883,no match,,,,,,,,,,
567.3406372     ,568.3479137,no match,,,,,,,,,,
843.5321045     ,844.539381,no match,,,,,,,,,,
364.8695984     ,365.8768749,no match,,,,,,,,,,
670.454895     ,671.4621715,no match,,,,,,,,,,
315.7344055     ,316.741682,no match,,,,,,,,,,
377.1567993     ,378.1640758,no match,,,,,,,,,,
719.4894409     ,720.4967174,no match,,,,,,,,,,
335.1351318     ,336.1424083,no match,,,,,,,,,,
306.0982666     ,307.1055431,no match,,,,,,,,,,
674.4872437     ,675.4945202,no match,,,,,,,,,,
180.8987732     ,181.9060497,no match,,,,,,,,,,
691.4363403     ,692.4436168,no match,,,,,,,,,,
840.5031128     ,841.5103893,no match,,,,,,,,,,
419.1354675     ,420.142744,420.142032369   ,C21H24O9        12C , , 14N , , , , , , Glycyphyllin    C09754  11942,
419.1354675     ,420.142744,420.142032369   ,C21H24O9        12C , , 14N , , , , , , Rhaponticin     C10288  12474,
419.1354675     ,420.142744,420.142032369   ,C21H24O9        12C , , 14N , , , , , , Isorhapontin    C10266  12452,
419.1354675     ,420.142744,420.142032369   ,C21H24O9        12C , , 14N , , , , , , Melampodin A    C09500  11691,
330.9812012     ,331.9884777,no match,,,,,,,,,,
226.8005219     ,227.8077984,no match,,,,,,,,,,
419.0769348     ,420.0842113,no match,,,,,,,,,,
312.1726685     ,313.179945,no match,,,,,,,,,,
673.4829712     ,674.4902477,674.488655766   ,C37H71O8P       12C , , 14N , , , , , , 1-18:1-2-16:0-sn-glycerol-3-pho,sphate   no KEGG no PubChem
673.4829712     ,674.4902477,674.488655766   ,C37H71O8P       12C , , 14N , , , , , , 1-Hexadecanoyl-2-(9Z-octadeceno,yl)-sn-glycero-3-phosphate       C13889  854134
833.5211792     ,834.5284557,no match,,,,,,,,,,
313.1141357     ,314.1214122,no match,,,,,,,,,,
346.976532     ,347.9838085,no match,,,,,,,,,,
273.9598694     ,274.9671459,no match,,,,,,,,,,
312.1724548     ,313.1797313,no match,,,,,,,,,,
157.87117       ,158.8784465,no match,,,,,,,,,,
776.2870483     ,777.2943248,no match,,,,,,,,,,
563.3083496     ,564.3156261,no match,,,,,,,,,,
337.092804     ,338.1000805,338.099099661   ,C15H15N4NaO4    12C , , 14N , , , , , , Sodium caffeine benzoate       ,C13403  586145
337.092804     ,338.1000805,338.100167555   ,C16H18O8        12C , , 14N , , , , , , 1-Caffeoyl-4-deoxyquinic acid , C10432  12617
337.092804     ,338.1000805,338.100167555   ,C16H18O8        12C , , 14N , , , , , , p-Coumaroyl quinic acid C12208 ,14353
337.092804     ,338.1000805,338.100167555   ,C16H18O8        12C , , 14N , , , , , , trans-5-O-(4-Coumaroyl)-D-quina,te       C04222  6894
